Country,Continent,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Image URL
Benin,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545988.966,4260293.793,7354036.552,10447779.31,13155024.83,15094570.34,16641735.86,18188901.38,19736066.9,21908569.66,24152253.79,26434764.14,27595432.41,28371368.28,28874344.14,29261429.66,29648515.17,29916180.69,30186787.59,30496220.69,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,30650937.24,Benin,https://public.flourish.studio/country-flags/svg/bj.svg
Bolivia,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7059.310345,27648.96552,55297.93103,68828.27586,102948.2759,198837.2414,335905.5172,479444.8276,568274.4828,677693.7931,800643.4483,992421.3793,1252439.31,1464806.897,1738355.172,2039552.414,2320160,2662536.552,2984323.448,3319640.69,3730257.241,4332063.448,4899749.655,5365075.862,5823342.759,6356908.966,7868777.931,10270120,13123257.93,16311713.1,19376630.34,22202119.31,25390574.48,28058993.79,30549165.52,33579962.76,36508400,39505077.24,44930745.52,57888697.93,71257266.9,84092269.66,91768681.38,103467723.4,117363387.6,132387953.1,146837773.1,159659245.5,172590137.2,183619133.1,193922784.8,202775748.3,213584140.7,222348274.5,232334257.2,241617838.6,250575515.2,259157283.4,266777809,274490105.5,282483009.7,290805348.3,299478299.3,308151250.3,317396005.5,326966665.5,336992062.8,348528152.4,360894299.3,373177499.3,387702030.3,400722340,413352622.8,427458301.4,442000480.7,455106678.6,474433305.5,494293498.6,513571886.9,533080879.3,549156693.8,563509448.3,578435771.7,593800949,611578057.2,631645911.7,652868551.7,675592471.7,699555300.7,699555300.7,699555300.7,699555300.7,699555300.7,Bolivia,https://public.flourish.studio/country-flags/svg/bo.svg
Brazil,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648.96552,68828.27586,123537.931,191777.931,253546.8966,342376.5517,472385.5172,568274.4828,869471.7241,1485396.552,2156031.034,2970204.828,3852618.621,5658625.517,9291817.241,18329499.31,35248901.38,56341532.41,82818652.41,113941386.9,143818741.4,175762709,205544174.5,240061849,282201813.8,335230764.8,393500077.2,457054460,517211549.7,580181774.5,641948975.2,704590353.8,769954273.1,833656901.4,895694709,955475302.1,1014917637,1076496589,1144098898,1223051990,1319260389,1441239977,1611979987,1813606244,2025603805,2236507761,2442606091,2662718917,2896209137,3126978580,3361241794,3600331811,3848273615,4104862486,4395860201,4707812890,5068225391,5475279932,5934279232,6414748248,6952547688,7510244383,8063761966,8672541594,9315899490,9965928434,10641806808,11364857846,12126113284,12905016998,13670926286,14421547462,15259339942,16163755253,17095587748,18069267835,19028626346,20060172188,21149300236,Brazil,https://public.flourish.studio/country-flags/svg/br.svg
Bulgaria,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34120,1060661.379,2750777.931,4700912.414,6219840.69,7533460.69,8901790.345,10317770.34,11679040.69,12862651.72,13957433.1,15524011.72,18288320,21702084.83,24951720.69,27175403.45,29460266.9,31546881.38,33243468.97,34543558.62,35528920.69,36363684.14,37164327.59,38046741.38,39729798.62,41508744.83,42623527.59,43734780.69,44846033.79,45957286.9,47443271.72,49665777.93,51888284.14,54110790.34,55744432.41,57595736.55,59077015.17,59521163.45,59929426.9,60299452.41,60706539.31,61076564.83,61336582.76,61558951.03,61855442.07,62151933.1,62467837.24,62691382.07,62965518.62,63187886.9,63559088.97,63929114.48,64299140,64669165.52,65040367.59,65410393.1,65780418.62,66150444.14,66521646.21,66891671.72,67261697.24,67631722.76,68002924.83,68002924.83,68002924.83,68002924.83,68002924.83,Bulgaria,https://public.flourish.studio/country-flags/svg/bg.svg
Cameroon,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260017.931,3714962.069,17425907.59,39213880.69,71806716.55,112641297.2,155348948.3,206062445.5,275368989.7,341678856.6,406864528.3,468096397.9,531783731,592099066.9,649417725.5,702009587.6,749587574.5,790027422.1,831611466.2,872188382.1,918642762.1,963972946.9,1001436119,1033300081,1062014414,1088170923,1113270890,1138060246,1168898255,1201267546,1232297333,1262847675,1291658486,1316009577,1339109405,1362775743,1386286188,1414383419,1451097128,1485657746,1485657746,1485657746,1485657746,1485657746,Cameroon,https://public.flourish.studio/country-flags/svg/cm.svg
Canada,North America,834763.4483,1525987.586,2011903.448,2456640,2963145.517,3544950.345,4064986.207,4783271.034,5262127.586,5645095.172,5932173.793,6199251.034,6418089.655,6623397.931,6821646.897,7019895.862,7197555.172,7395804.138,7676411.724,7895250.345,8072909.655,8257628.276,8435287.586,8606475.862,8763545.517,9091803.448,9413590.345,9830677.931,10377774.48,11363136.55,12703817.24,14058616.55,14975150.34,15981102.07,17219422.76,18491863.45,19812542.76,21926806.21,27899571.03,34857697.93,42575288.97,51674740,60979499.31,69839522.07,78761313.79,86225357.93,92834637.24,99553335.86,110479383.4,129738358.6,156461966.2,200276164.1,256624167.6,331068124.8,419483045.5,538595965.5,696850408.3,864190183.4,1016478332,1186514176,1361037976,1564385528,1789236328,2026333855,2279044223,2579216100,2909066494,3269629006,3660419484,4086093545,4565473662,5079717948,5672978860,6359296189,7005056015,7563169209,8078377091,8595429806,9109852340,9700112457,10269812920,10785410240,11295551891,11833035426,12406472618,12992700692,13579276437,14197039038,14847645081,15481321721,16115938426,16753679464,17418412363,18118184149,18848134487,19613758462,20403651168,21229466353,22085273605,22913090692,23768883826,24632094530,25542050811,26504183631,27497305058,28473463551,29506541264,30571596475,31620010540,32667826327,33766802702,34930777676,36182203975,37519127935,38954348674,40432654148,41929914460,43548811394,45312212411,47114727891,48840100991,Canada,https://public.flourish.studio/country-flags/svg/ca.svg
Chad,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465877.931,68908869.66,131221990.3,186250491,237833460,283608381.4,325937771,369743733.1,410596550.3,446921408.3,479487771.7,511395854.5,551140360,593120902.1,628480987.6,669983261.4,715571699.3,761060718.6,Chad,https://public.flourish.studio/country-flags/svg/td.svg
Chile,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47650.34483,608865.5172,1285971.034,2100144.828,3221986.897,4767975.862,7066957.931,10227764.14,14093324.83,19060137.93,24793474.48,31245095.86,39509783.45,49936384.83,61717785.52,73923333.1,85252937.93,96336643.45,107420349,119632955.9,131339057.2,141382691,150974529,160669315.2,169399329,176993382.1,183793851,190211352.4,196560613.8,201896864.1,208806752.4,223998976.6,241539597.9,259807916.6,276620252.4,293376113.8,309356627.6,323256409.7,336792637.2,348096357.9,358719443.4,369137220.7,378201375.2,386560186.9,394793695.9,402448341.4,409697076.6,416200466.2,420711953.8,425021662.8,429064882.8,432605126.9,436344208.3,439915631,443504113.8,446854933.1,449986913.8,452490027.6,454435455.9,456612664.8,458999300,462821916.6,466672182.1,470418322.8,473883267.6,476844060,479384823.4,481262011.7,481262011.7,481262011.7,481262011.7,481262011.7,Chile,https://public.flourish.studio/country-flags/svg/cl.svg
China,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13530.34483,34120,54709.65517,82358.62069,424735.1724,841822.7586,1320679.31,1916014.483,2545469.655,3510242.069,4646202.759,5973353.103,7834069.655,10461309.66,14463938.62,19000133.79,24589931.03,26717724.83,28093113.79,29290255.17,29769111.72,30125018.62,30624464.83,31431579.31,32813439.31,34907113.1,37890260,42145847.59,47543866.9,54153146.21,62110165.52,72099089.66,87588393.1,112902491.7,150531557.2,192949776.6,239472984.8,290785346.9,348939357.2,426318222.8,525864499.3,620826342.1,730224474.5,878961790.3,1088658604,1358287786,1670745804,2037526392,2481207577,3008425110,3604743292,4245395119,4957268916,5683510174,6408383103,7100894977,7799564334,8525257908,9309379041,10163900910,11058036100,11975774682,12913422872,13855107223,14801375420,15765979586,16737767190,17723169850,18722597595,19742140256,20826678576,21922231773,23018126759,24114295881,25226884959,26354593903,27496232631,28656473819,29847269466,31088022088,32352123968,33626847756,34929768783,36226192891,37615143380,39003146157,40422637575,41859104871,43305627565,44773571737,46139746537,47449963362,48743760230,50050610940,51383151656,China,https://public.flourish.studio/country-flags/svg/cn.svg
Colombia,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68240,382967.5862,800055.1724,1237732.414,2223094.483,8517646.207,23186304.83,42623527.59,62539606.9,81573272.41,98567973.79,113872558.6,126132815.9,142292753.8,158726240,176350396.6,195554662.1,215970187.6,238547626.9,262732824.1,286049137.9,296072182.1,308749526.9,330184534.5,351783671,373006311,396644411.7,419160082.1,447286139.3,479517185.5,515853220.7,552476334.5,589790672.4,627625046.2,665206461.4,706968164.8,750255267.6,793645318.6,843322273.8,895209381.4,944729266.9,993024362.1,1049317656,1108135241,1181029680,1252482843,1321413479,1384751964,1461610206,1542067519,1621948910,1694315665,1762376241,1824455816,1882606297,1936941220,1988029449,2036595151,2082278301,2128809157,2178456110,2230770306,2286903589,2348610786,2413752925,2523577557,2662880693,2799674832,2945824323,3105737115,3260208944,3419405805,3583822437,3748849112,3961046686,4189288308,4427635333,4704098516,5003118548,5251355079,5469004206,5677284451,5872232012,6063121059,6252721781,6442771946,6634149849,6846490374,7088139980,7371323626,7701136370,8042278719,8406182638,8763062543,9125418119,9445523135,9753273770,10065147041,10384352583,10666681464,Colombia,https://public.flourish.studio/country-flags/svg/co.svg
